Change;Excluded;Original;en;it
;;Varlenia Chain Whip;Varlenia Chain Whip;Frusta a catena di Varlenia
;;"A chain whip made with golden Varlenia steel links
that can extend to great lengths.";"A chain whip made with golden Varlenia steel links
that can extend to great lengths.";"Una frusta a catena realizzata con maglie in acciaio Varlenia dorato
che può raggiungere grandi lunghezze."
;;Varlenia War Fan;Varlenia War Fan;Ventaglio da guerra di Varlenia
;;"A folding war fan made of razor-sharp Varlenia 
steel blades.";"A folding war fan made of razor-sharp Varlenia 
steel blades.";"Un ventaglio da guerra pieghevole realizzato con lame affilatissime
in acciaio Varlenia."
;;Stone Darts;Stone Darts;Dardi di pietra
;;"Primitive stone-tipped darts used by ancient 
cultures.";"Primitive stone-tipped darts used by ancient 
cultures.";"Frecce primitive con punta di pietra utilizzate dalle
culture antiche."
;;Wooden Nunchaku;Wooden Nunchaku;Nunchaku di legno
;;"A flexible wooden weapon with segments connected 
by cord or chain.";"A flexible wooden weapon with segments connected 
by cord or chain.";"Un'arma flessibile in legno con segmenti collegati
tramite corda o catena."
;;Quarterstaff;Quarterstaff;Bastone da caccia
;;A staff with weighted ends used in martial arts.;A staff with weighted ends used in martial arts.;"Bastone con estremità appesantite, utilizzato
nelle arti marziali."
;;Escrima Sticks;Escrima Sticks;Bastoni da Eskrima
;;"A pair of short metal batons used for 
close-quarters fighting.";"A pair of short metal batons used for 
close-quarters fighting.";"Un paio di corti manganelli metallici usati per
il combattimento ravvicinato."
;;Chakram;Chakram;Chakram
;;"A chakram - a throwing weapon with a circular 
blade.";"A chakram - a throwing weapon with a circular 
blade.";Un chakram è un'arma da lancio con una lama circolare.
;;Meteor Hammer;Meteor Hammer;Martello meteorico
;;"A meteor hammer - a weighted head on a rope for 
swinging attacks.";"A meteor hammer - a weighted head on a rope for 
swinging attacks.";"Un martello meteorico: una testa appesantita su una corda per
attacchi oscillanti."
;;Tessen;Tessen;Tessen
;;"A Japanese war fan with metal ribs that can be 
used as a weapon.";"A Japanese war fan with metal ribs that can be 
used as a weapon.";"Un ventaglio da guerra giapponese con stecche metalliche che può essere
usato come arma."
;;Volley Gun;Volley Gun;Volley gun
;;"A hand-cranked volley gun with multiple barrels 
that fire simultaneously.";"A hand-cranked volley gun with multiple barrels 
that fire simultaneously.";"Un fucile a salve a manovella con più canne
che sparano simultaneamente."
;;Riot Gun;Riot Gun;Pistola antisommossa
;;"A weapon that fires hardened rubber or plastic 
projectiles for crowd control.";"A weapon that fires hardened rubber or plastic 
projectiles for crowd control.";"Un'arma che spara proiettili di gomma o plastica indurita
per controllare la folla."
;;Gas Launcher;Gas Launcher;Lanciatore di gas
;;A launcher that fires tear gas or smoke grenades.;A launcher that fires tear gas or smoke grenades.;"Un lanciatore che spara gas lacrimogeni o granate
fumogene."
;;Wooden Stake;Wooden Stake;Paletto di legno
;;"A sharpened wooden stake used against supernatural
creatures.";"A sharpened wooden stake used against supernatural
creatures.";"Un paletto di legno affilato usato contro le
creature soprannaturali."
;;Blessed Silver Sword;Blessed Silver Sword;Spada d'argento benedetta
;;"A blessed silver sword effective against undead 
and supernatural foes.";"A blessed silver sword effective against undead 
and supernatural foes.";"Una spada d'argento benedetta, efficace contro i non morti
e i nemici soprannaturali."
;;Fire Lance;Fire Lance;Lancia di fuoco
;;"Ancient Chinese rockets attached to spears, 
creating an early missile weapon.";"Ancient Chinese rockets attached to spears, 
creating an early missile weapon.";"Antichi razzi cinesi attaccati alle lance,
creando una delle prime armi missilistiche."
;;Wind Staff;Wind Staff;Bastone del vento
;;"A simple wooden staff that creates powerful gusts 
of wind.";"A simple wooden staff that creates powerful gusts 
of wind.";"Un semplice bastone di legno che crea potenti raffiche
di vento."
;;Net Crossbow;Net Crossbow;Balestra a rete
;;"A crossbow that fires specialized bolts that 
explode into entangling nets.";"A crossbow that fires specialized bolts that 
explode into entangling nets.";"Una balestra che spara dardi specializzati che
esplodono in reti intricate."
;;Venom Claws;Venom Claws;Artigli velenosi
;;Metal claws infused with paralyzing poison.;Metal claws infused with paralyzing poison.;"Artigli di metallo imbevuti di veleno
paralizzante."
;;Petrified Staff;Petrified Staff;Bastone pietrificato
;;"A staff made from fossilized ancient wood with 
earth magic properties.";"A staff made from fossilized ancient wood with 
earth magic properties.";"Un bastone ricavato da legno antico fossilizzato con
proprietà magiche della terra."
;;Aerodynamic Blade;Aerodynamic Blade;Lama aerodinamica
;;"A curved blade that slices through the air with 
minimal resistance.";"A curved blade that slices through the air with 
minimal resistance.";"Una lama curva che fende l'aria
con una resistenza minima."
;;Advanced Compound Bow;Advanced Compound Bow;Arco composto avanzato
;;"A modern compound bow with advanced pulley system 
for power and accuracy.";"A modern compound bow with advanced pulley system 
for power and accuracy.";"Un arco compound moderno con sistema di carrucole avanzato
per potenza e precisione."
;;Water Jet Cutter;Water Jet Cutter;Taglierino a getto d'acqua
;;"A handheld weapon that fires a jet of pressurized 
water.";"A handheld weapon that fires a jet of pressurized 
water.";Un'arma portatile che spara un getto d'acqua pressurizzata.
;;Frost Whip;Frost Whip;Frusta di gelo
;;"A whip made from crystallized ice that never 
melts.";"A whip made from crystallized ice that never 
melts.";"Una frusta fatta di ghiaccio cristallizzato che
non si scioglie mai."
;;Obsidian Sword;Obsidian Sword;Spada di ossidiana
;;"A sword with a blade made of hardened volcanic 
glass.";"A sword with a blade made of hardened volcanic 
glass.";Una spada con una lama fatta di vetro vulcanico temprato.
;;Tranquilizer Rifle;Tranquilizer Rifle;Fucile tranquillante
;;"A rifle that fires darts filled with potent 
tranquilizers.";"A rifle that fires darts filled with potent 
tranquilizers.";"Un fucile che spara dardi pieni di potenti
tranquillanti."
;;Seismic Hammer;Seismic Hammer;Martello sismico
;;"A massive two-handed hammer that creates 
shockwaves on impact.";"A massive two-handed hammer that creates 
shockwaves on impact.";"Un enorme martello a due mani che crea
onde d'urto all'impatto."
;;Lightning-Struck Staff;Lightning-Struck Staff;Bastone folgorato
;;"A staff made from the branch of a tree struck by 
lightning.";"A staff made from the branch of a tree struck by 
lightning.";"Un bastone ricavato dal ramo di un albero colpito da
un fulmine."
;;Disc Launcher;Disc Launcher;Lancia-dischi
;;"A weapon that launches sharp discs with cutting 
edges.";"A weapon that launches sharp discs with cutting 
edges.";Un'arma che lancia dischi affilati con bordi taglienti.
;;Vibro Blade;Vibro Blade;Lame vibranti
;;"A sword with a blade that vibrates at ultrasonic 
frequencies.";"A sword with a blade that vibrates at ultrasonic 
frequencies.";Una spada con una lama che vibra a frequenze ultrasoniche.
;;Heat Ray;Heat Ray;Raggio di calore
;;"A weapon that generates intense heat to melt 
through objects.";"A weapon that generates intense heat to melt 
through objects.";"Un'arma che genera un calore intenso per fondere
gli oggetti."
;;Shock Gauntlets;Shock Gauntlets;Guanti antiurto
;;"Gauntlets that deliver powerful electric shocks on
impact.";"Gauntlets that deliver powerful electric shocks on
impact.";"Guanti che rilasciano potenti scariche elettriche
all'impatto."
;;Starmetal Blade;Starmetal Blade;Lama di metallo stellare
;;"A sword forged from star metal that fell from the 
sky, giving it magical properties.";"A sword forged from star metal that fell from the 
sky, giving it magical properties.";"Una spada forgiata con metallo stellare caduto dal
cielo, che le conferisce proprietà magiche."
;;Eye of Insight Staff;Eye of Insight Staff;Bastone dell’occhio
;;"A staff crowned with a living, sentient eye that 
can see invisible things.";"A staff crowned with a living, sentient eye that 
can see invisible things.";"Un bastone sormontato da un occhio vivo e senziente che
può vedere cose invisibili."
;;Dragonbone Bow;Dragonbone Bow;Arco di osso di drago
;;"A bow carved from ancient dragonbone that never 
misses its target.";"A bow carved from ancient dragonbone that never 
misses its target.";"Un arco ricavato da antiche ossa di drago che
non manca mai il bersaglio."
;;Shadowsteel Blade;Shadowsteel Blade;Lama d'acciaio ombra
;;"A sword with a blade made of solidified shadow 
that passes through armor.";"A sword with a blade made of solidified shadow 
that passes through armor.";"Una spada con una lama fatta di ombra solidificata
che attraversa l'armatura."
;;Volcanic Greataxe;Volcanic Greataxe;Ascia pesante del vulcano
;;"An axe forged in the heart of a volcano, eternally
burning with magical flame.";"An axe forged in the heart of a volcano, eternally
burning with magical flame.";"Un'ascia forgiata nel cuore di un vulcano, che
arde eternamente di fiamme magiche."
;;Leviathan Fang Spear;Leviathan Fang Spear;Lancia-zanna del Leviatano
;;"A spear made from the fang of a legendary sea 
serpent that controls water.";"A spear made from the fang of a legendary sea 
serpent that controls water.";"Una lancia ricavata dalla zanna di un leggendario
serpente marino che controlla l'acqua."
;;Thunder Lizard Gauntlets;Thunder Lizard Gauntlets;Guanti della lucertola del tuono
;;"Gauntlets made from the scales of an ancient 
thunder lizard, crackling with electricity.";"Gauntlets made from the scales of an ancient 
thunder lizard, crackling with electricity.";"Guanti fatti con le scaglie di un'antica
lucertola del tuono, crepitanti di elettricità."
;;Arcane Crossbow;Arcane Crossbow;Balestra Arcana
;;"A crossbow that fires bolts of pure magical 
energy.";"A crossbow that fires bolts of pure magical 
energy.";"Una balestra che spara dardi di pura energia
magica."
;;Soul Drain Flail;Soul Drain Flail;Flagello di drenaggio dell'anima
;;"A flail with a head made of crystallized soul 
energy that drains life force.";"A flail with a head made of crystallized soul 
energy that drains life force.";"Un flagello con una testa fatta di energia dell'anima cristallizzata
che prosciuga la forza vitale."
;;Morphblade;Morphblade;Lamamorfa
;;"A magical sword that can change its size from 
dagger to greatsword at will.";"A magical sword that can change its size from 
dagger to greatsword at will.";"Una spada magica che può cambiare le sue dimensioni da 
pugnale a spadone a piacimento."
;;Banshee's Wail;Banshee's Wail;Lamento della Banshee
;;"A whip made from the hair of a banshee that 
screams when used.";"A whip made from the hair of a banshee that 
screams when used.";"Una frusta fatta con i capelli di una banshee che
urla quando viene usata."
;;Celestial Hammer;Celestial Hammer;Martello celeste
;;"A hammer forged from a fragment of a fallen star, 
glowing with celestial energy.";"A hammer forged from a fragment of a fallen star, 
glowing with celestial energy.";"Un martello forgiato da un frammento di una stella caduta,
brillante di energia celeste."
;;Frost Dragon Claws;Frost Dragon Claws;Artigli del Drago del gelo
;;"Claws carved from the teeth of an ancient frost 
dragon, emanating bitter cold.";"Claws carved from the teeth of an ancient frost 
dragon, emanating bitter cold.";"Artigli ricavati dai denti di un antico drago del gelo,
che emanano un freddo pungente."
;;World Tree Branch;World Tree Branch;Ramo dell'albero del mondo
;;"A staff made from a branch of the World Tree, 
containing ancient nature magic.";"A staff made from a branch of the World Tree, 
containing ancient nature magic.";"Un bastone ricavato da un ramo dell'Albero del Mondo,
contenente un'antica magia della natura."
;;Soulstring Bow;Soulstring Bow;Arco cordanima
;;"A magical bow that forms arrows from the wielder's
own life force.";"A magical bow that forms arrows from the wielder's
own life force.";"Un arco magico che genera frecce con la
forza vitale di chi lo impugna."
;;Hero's Legacy;Hero's Legacy;L'eredità dell'eroe
;;"A sword that contains the trapped soul of an 
ancient hero, granting wisdom in battle.";"A sword that contains the trapped soul of an 
ancient hero, granting wisdom in battle.";"Una spada che contiene l'anima intrappolata di un
antico eroe, che conferisce saggezza in battaglia."
;;Bloodthirster;Bloodthirster;Assetasangue
;;"A sword that becomes lighter and sharper with each
kill, feeding on blood.";"A sword that becomes lighter and sharper with each
kill, feeding on blood.";"Una spada che diventa più leggera e affilata a ogni
uccisione, nutrendosi di sangue."
;;Earthshaker Mace;Earthshaker Mace;Mazza scuotiterra
;;"A mace made from a chunk of elemental earth, 
causing tremors on impact.";"A mace made from a chunk of elemental earth, 
causing tremors on impact.";"Una mazza ricavata da un pezzo di terra elementare,
che provoca tremori all'impatto."
;;Dimension Blade;Dimension Blade;Lama dimensionale
;;"A sword that can cut through the fabric of reality
to create dimensional portals.";"A sword that can cut through the fabric of reality
to create dimensional portals.";"Una spada che può tagliare il tessuto della realtà
per creare portali dimensionali."
;;Infinite Quiver;Infinite Quiver;Faretra infinita
;;"A magical crossbow that never needs to be 
reloaded, materializing bolts from thin air.";"A magical crossbow that never needs to be 
reloaded, materializing bolts from thin air.";"Una balestra magica che non ha mai bisogno di essere ricaricata,
che materializza dardi dal nulla."
;;Lightning Elemental Fists;Lightning Elemental Fists;Pugni elementali del fulmine
;;"Gauntlets made from the essence of a lightning 
elemental, striking with electric fury.";"Gauntlets made from the essence of a lightning 
elemental, striking with electric fury.";Guanti realizzati con l'essenza di un elementale del fulmine, che colpisce con furia elettrica.
;;Chronomancer's Staff;Chronomancer's Staff;Bastone del Cronomante
;;"A staff crafted from crystallized time, allowing 
the wielder to slow enemies.";"A staff crafted from crystallized time, allowing 
the wielder to slow enemies.";"Un bastone creato dal tempo cristallizzato, che consente
a chi lo impugna di rallentare i nemici."
;;Twilight Edge;Twilight Edge;Bordo del crepuscolo
;;"A sword forged from the essence of twilight, 
existing between light and shadow.";"A sword forged from the essence of twilight, 
existing between light and shadow.";"Una spada forgiata dall'essenza del crepuscolo,
che esiste tra luce e ombra."
;;Moonlight Bow;Moonlight Bow;Arco al chiaro di luna
;;"A bow carved from moonlight that fires arrows of 
pure lunar energy.";"A bow carved from moonlight that fires arrows of 
pure lunar energy.";"Un arco scolpito nella luce della luna che scocca frecce di
pura energia lunare."
;;Bound Elemental Axe;Bound Elemental Axe;Ascia elementale vincolata
;;"An axe that contains a bound fire elemental, 
constantly ablaze with magical flames.";"An axe that contains a bound fire elemental, 
constantly ablaze with magical flames.";"Un'ascia che contiene un elementale del fuoco vincolato,
perennemente accesa da fiamme magiche."
;;Phoenix Heartstring;Phoenix Heartstring;Corda di cuore di fenice
;;"A whip made from the heartstring of a phoenix, 
burning with eternal fire.";"A whip made from the heartstring of a phoenix, 
burning with eternal fire.";"Una frusta ricavata dalle corde del cuore di una fenice,
ardente di fuoco eterno."
;;Nightmare Gauntlets;Nightmare Gauntlets;Guanti da incubo
;;"Gauntlets crafted from the solidified essence of 
nightmares, causing fear on contact.";"Gauntlets crafted from the solidified essence of 
nightmares, causing fear on contact.";"Guanti realizzati con l'essenza solidificata degli
incubi, che incutono paura al contatto."
;;Spellbreaker Blade;Spellbreaker Blade;Lama Spezzaincantesimi
;;"A magical crystalline sword that absorbs spells 
cast at its wielder.";"A magical crystalline sword that absorbs spells 
cast at its wielder.";"Una spada magica di cristallo che assorbe gli incantesimi
lanciati contro chi la impugna."
;;Unicorn Horn Staff;Unicorn Horn Staff;Bastone di corno di unicorno
;;"A staff made from the horn of a legendary unicorn,
with powerful healing magic.";"A staff made from the horn of a legendary unicorn,
with powerful healing magic.";"Un bastone ricavato dal corno di un unicorno leggendario,
dotato di una potente magia curativa."
;;T-Pillar Blade;T-Pillar Blade;Lama del pilastro a T
;;"An impossibly precise stone blade from Göbekli 
Tepe, carved with animal pictographs that glow when danger is near.";"An impossibly precise stone blade from Göbekli 
Tepe, carved with animal pictographs that glow when danger is near.";"Una lama di pietra incredibilmente precisa proveniente da Göbekli
Tepe, incisa con pittogrammi di animali che brillano quando il pericolo è vicino."
;;Vulture Totem Staff;Vulture Totem Staff;Bastone totemico dell'avvoltoio
;;"A staff topped with the carved vulture of Göbekli 
Tepe, allowing communion with ancient spirits.";"A staff topped with the carved vulture of Göbekli 
Tepe, allowing communion with ancient spirits.";"Un bastone sormontato dall'avvoltoio scolpito di Göbekli
Tepe, che consente la comunione con gli spiriti antichi."
;;Fox Spirit Fists;Fox Spirit Fists;Pugni dello Spirito della Volpe
;;"Stone gauntlets carved with the fox symbols of 
Göbekli Tepe, granting supernatural speed and cunning.";"Stone gauntlets carved with the fox symbols of 
Göbekli Tepe, granting supernatural speed and cunning.";"Guanti di pietra incisi con i simboli della volpe di
Göbekli Tepe, che conferiscono velocità e astuzia soprannaturali."
;;Stellar Sling;Stellar Sling;Fionda Stellare
;;"A mysterious sling from Göbekli Tepe that turns 
ordinary stones into devastating projectiles of stellar energy.";"A mysterious sling from Göbekli Tepe that turns 
ordinary stones into devastating projectiles of stellar energy.";"Una misteriosa fionda proveniente da Göbekli Tepe che trasforma
le comuni pietre in devastanti proiettili di energia stellare."
;;Boar Totem Hammer;Boar Totem Hammer;Martello totem del cinghiale
;;"A massive stone hammer carved with the boar 
symbols from Göbekli Tepe, channeling primal strength.";"A massive stone hammer carved with the boar 
symbols from Göbekli Tepe, channeling primal strength.";"Un enorme martello di pietra scolpito con i simboli del cinghiale
di Göbekli Tepe, che incanala la forza primordiale."
;;Serpent Caller;Serpent Caller;Chiamatore di serpenti
;;"A spear tipped with a stone carving from Göbekli 
Tepe that summons serpent spirits when thrown.";"A spear tipped with a stone carving from Göbekli 
Tepe that summons serpent spirits when thrown.";"Una lancia con una punta incisa in pietra proveniente da Göbekli
Tepe che evoca spiriti serpente quando viene lanciata."
;;Cosmic Pendulum;Cosmic Pendulum;Pendolo Cosmico
;;"A mysterious flail from Göbekli Tepe with 
astronomical carvings that distorts space around it.";"A mysterious flail from Göbekli Tepe with 
astronomical carvings that distorts space around it.";"Un misterioso flagello proveniente da Göbekli Tepe con
incisioni astronomiche che distorcono lo spazio circostante."
;;Soul Cleaver;Soul Cleaver;Mannaia dell'anima
;;"A ceremonial axe from Göbekli Tepe that cuts 
through both physical matter and spiritual energy.";"A ceremonial axe from Göbekli Tepe that cuts 
through both physical matter and spiritual energy.";"Un'ascia cerimoniale proveniente da Göbekli Tepe che taglia
sia la materia fisica che l'energia spirituale."
;;Crane Talons;Crane Talons;Artigli della gru
;;"Ritual claws from Göbekli Tepe that allow the 
wearer to assume aspects of the sacred crane.";"Ritual claws from Göbekli Tepe that allow the 
wearer to assume aspects of the sacred crane.";"Artigli rituali provenienti da Göbekli Tepe che consentono
a chi li indossa di assumere aspetti della gru sacra."
;;Bull Totem Bow;Bull Totem Bow;Arco totem del toro
;;"A bow carved from impossible stone, adorned with 
the bull carvings of Göbekli Tepe, firing arrows of pure force.";"A bow carved from impossible stone, adorned with 
the bull carvings of Göbekli Tepe, firing arrows of pure force.";"Un arco scolpito in una pietra impossibile, decorato con
le sculture del toro di Göbekli Tepe, che scocca frecce di pura forza."
;;Star Cutter;Star Cutter;Tagliatore di stelle
;;"A curved blade from Göbekli Tepe inscribed with 
forgotten constellation patterns that cuts through dimensions.";"A curved blade from Göbekli Tepe inscribed with 
forgotten constellation patterns that cuts through dimensions.";"Una lama curva proveniente da Göbekli Tepe, incisa con
motivi di costellazioni dimenticate che attraversano le dimensioni."
;;Portal Disc;Portal Disc;Disco portale
;;"A strange circular weapon from Göbekli Tepe that 
creates portals when thrown, returning to the wielder.";"A strange circular weapon from Göbekli Tepe that 
creates portals when thrown, returning to the wielder.";"Una strana arma circolare proveniente da Göbekli Tepe che
crea portali quando viene lanciata, tornando poi al possessore."
;;Knowledge Seeker;Knowledge Seeker;Cercatore di conoscenza
;;"A mysterious dagger from Göbekli Tepe that reveals
hidden knowledge when blood touches its blade.";"A mysterious dagger from Göbekli Tepe that reveals
hidden knowledge when blood touches its blade.";"Un misterioso pugnale proveniente da Göbekli Tepe che rivela
conoscenze nascoste quando il sangue tocca la lama."
;;Celestial Alignment Rod;Celestial Alignment Rod;Asta di allineamento celeste
;;"A staff from Göbekli Tepe crowned with carvings of
the sun and moon, controlling celestial energies.";"A staff from Göbekli Tepe crowned with carvings of
the sun and moon, controlling celestial energies.";"Un bastone proveniente da Göbekli Tepe sormontato da incisioni raffiguranti
il sole e la luna, che controllano le energie celesti."
;;Gravity Spear;Gravity Spear;Lancia gravitazionale
;;"A primitive-looking but technologically advanced 
spear from Göbekli Tepe that can control gravity.";"A primitive-looking but technologically advanced 
spear from Göbekli Tepe that can control gravity.";"Una lancia dall'aspetto primitivo ma tecnologicamente avanzata
proveniente da Göbekli Tepe, in grado di controllare la gravità."
;;Skystone Greatsword;Skystone Greatsword;Spada di Pietraceleste
;;"A massive stone sword from Göbekli Tepe that's 
impossibly light, inscribed with lost astronomical knowledge.";"A massive stone sword from Göbekli Tepe that's 
impossibly light, inscribed with lost astronomical knowledge.";"Un'enorme spada di pietra proveniente da Göbekli Tepe,
incredibilmente leggera, recante incisioni di conoscenze astronomiche perdute."
;;Phasing Touch;Phasing Touch;Tocco di fase
;;"Gauntlets from Göbekli Tepe that phase through 
matter, allowing the wearer to reach into objects.";"Gauntlets from Göbekli Tepe that phase through 
matter, allowing the wearer to reach into objects.";"Guanti di Göbekli Tepe che attraversano la
materia, consentendo a chi li indossa di raggiungere gli oggetti."
;;Liquid Stone Whip;Liquid Stone Whip;Frusta di pietra liquida
;;"A mysterious whip from Göbekli Tepe made of 
impossible stone links that moves like liquid.";"A mysterious whip from Göbekli Tepe made of 
impossible stone links that moves like liquid.";"Una misteriosa frusta di Göbekli Tepe fatta di
maglie di pietra impossibili che si muovono come un liquido."
;;Planar Divider;Planar Divider;Divisore planare
;;"A ceremonial axe from Göbekli Tepe that can cut 
through the barriers between worlds.";"A ceremonial axe from Göbekli Tepe that can cut 
through the barriers between worlds.";"Un'ascia cerimoniale proveniente da Göbekli Tepe che può tagliare
le barriere tra i mondi."
;;Thought Projector;Thought Projector;Proiettore di pensieri
;;"A stone-carved launcher from Göbekli Tepe that 
fires energy bolts powered by thoughts.";"A stone-carved launcher from Göbekli Tepe that 
fires energy bolts powered by thoughts.";"Un lanciatore scolpito nella pietra proveniente da Göbekli Tepe che
spara dardi energetici alimentati dai pensieri."
;;Timeflow Manipulator;Timeflow Manipulator;Manipolatore del flusso temporale
;;"A bizarre Göbekli Tepe artifact that warps time 
around the wielder, increasing their speed.";"A bizarre Göbekli Tepe artifact that warps time 
around the wielder, increasing their speed.";"Un bizzarro manufatto di Göbekli Tepe che deforma il tempo
intorno a chi lo impugna, aumentandone la velocità."
;;EHI Crude Projector;EHI Crude Projector;Proiettore di greggio EHI
;;"An industrial cannon that fires pressurized crude 
oil. Devastating but extremely unstable and may ignite the wielder.";"An industrial cannon that fires pressurized crude 
oil. Devastating but extremely unstable and may ignite the wielder.";Un cannone industriale che spara petrolio greggio pressurizzato. Devastante ma estremamente instabile, può incendiare chi lo impugna.
;;EHI Petroleum Edge;EHI Petroleum Edge;EHI Petroleum Edge
;;"A chainsaw sword dripping with oil that constantly
corrodes its wielder's armor while slicing through enemies.";"A chainsaw sword dripping with oil that constantly
corrodes its wielder's armor while slicing through enemies.";"Una spada-motosega grondante olio che corrode costantemente
l'armatura di chi la impugna mentre trafigge i nemici."
;;EHI Toxic Amplifier;EHI Toxic Amplifier;Amplificatore tossico EHI
;;"A staff containing volatile petroleum derivatives 
that amplifies magic but damages the user's health with toxic fumes.";"A staff containing volatile petroleum derivatives 
that amplifies magic but damages the user's health with toxic fumes.";"Un bastone contenente derivati ​​volatili del petrolio
che amplifica la magia ma danneggia la salute di chi lo usa con fumi tossici."
;;EHI Petrochem Injectors;EHI Petrochem Injectors;Iniettori EHI Petrochem
;;"Gauntlets that inject oil-based performance 
enhancers, greatly increasing strength but causing severe organ damage.";"Gauntlets that inject oil-based performance 
enhancers, greatly increasing strength but causing severe organ damage.";"Guanti che iniettano sostanze a base di olio
per migliorare le prestazioni, aumentando notevolmente la forza ma causando gravi danni agli organi."
;;EHI Knowledge Injector;EHI Knowledge Injector;Iniettore di conoscenza EHI
;;"A crossbow that fires bolts containing 
encyclopedic knowledge, overwhelming enemies with information but draining the user's mind.";"A crossbow that fires bolts containing 
encyclopedic knowledge, overwhelming enemies with information but draining the user's mind.";"Una balestra che spara dardi contenenti
conoscenza enciclopedica, sommergendo i nemici di informazioni ma prosciugando la mente di chi la usa."
;;EHI Compression Maul;EHI Compression Maul;Mazza da compressione EHI
;;"A massive hammer containing compressed oil that 
creates devastating shockwaves but severely slows the wielder.";"A massive hammer containing compressed oil that 
creates devastating shockwaves but severely slows the wielder.";"Un enorme martello contenente olio compresso che
crea onde d'urto devastanti ma rallenta notevolmente chi lo impugna."
;;EHI Omniscient Binder;EHI Omniscient Binder;Legatore omnisciente EHI
;;"A whip made from living encyclopedia pages that 
bind enemies with knowledge but confuse the wielder with constant whispers.";"A whip made from living encyclopedia pages that 
bind enemies with knowledge but confuse the wielder with constant whispers.";"Una frusta fatta di pagine di enciclopedia viventi che
lega i nemici con la conoscenza ma confonde chi la impugna con sussurri costanti."
;;EHI Memetic Rifle;EHI Memetic Rifle;Fucile memetico EHI
;;"A rifle that fires knowledge crystallized into 
bullets, devastating to enemies but causing memory loss in the user.";"A rifle that fires knowledge crystallized into 
bullets, devastating to enemies but causing memory loss in the user.";"Un fucile che spara conoscenza cristallizzata in
proiettili, devastanti per i nemici ma che causano perdita di memoria a chi lo usa."
;;EHI Omniscience Edge;EHI Omniscience Edge;Lama omniscienza EHI
;;"A sword with a blade made of encyclopedia pages 
compressed to diamond hardness, cutting through defenses but driving its wielder insane.";"A sword with a blade made of encyclopedia pages 
compressed to diamond hardness, cutting through defenses but driving its wielder insane.";"Una spada con una lama composta da pagine di enciclopedia
compresse fino a raggiungere la durezza del diamante, che penetra le difese ma fa impazzire chi la impugna."
;;EHI Combustion Lance;EHI Combustion Lance;Lancia di combustione EHI
;;"A spear tipped with crystallized oil that ignites 
on impact, creating massive explosions but severely burning the user.";"A spear tipped with crystallized oil that ignites 
on impact, creating massive explosions but severely burning the user.";"Una lancia con la punta ricoperta di olio cristallizzato che si infiamma
all'impatto, creando enormi esplosioni ma ustionando gravemente chi la usa."
;;EHI Forbidden Codex;EHI Forbidden Codex;Codice proibito EHI
;;"A staff containing the complete knowledge of 
ancient civilizations, granting immense magical power but rapidly aging the user.";"A staff containing the complete knowledge of 
ancient civilizations, granting immense magical power but rapidly aging the user.";"Un bastone contenente la conoscenza completa
delle antiche civiltà, che conferisce un immenso potere magico ma invecchia rapidamente chi lo usa."
;;EHI Psychoactive Talons;EHI Psychoactive Talons;Artigli Psicoattivi EHI
;;"Claws infused with a mixture of rare oils and 
encyclopedic knowledge, granting unnatural speed but causing hallucinations.";"Claws infused with a mixture of rare oils and 
encyclopedic knowledge, granting unnatural speed but causing hallucinations.";"Artigli infusi con una miscela di oli rari e
conoscenza enciclopedica, che garantiscono una velocità innaturale ma causano allucinazioni."
;;EHI Identity Eraser;EHI Identity Eraser;Cancella identità EHI
;;"A bow that fires arrows containing concentrated 
knowledge, shattering minds but causing the user to forget their own identity.";"A bow that fires arrows containing concentrated 
knowledge, shattering minds but causing the user to forget their own identity.";"Un arco che scaglia frecce contenenti conoscenza concentrata,
che frantuma le menti ma fa dimenticare a chi lo usa la propria identità."
;;EHI Petrocorruptor;EHI Petrocorruptor;EHI Petrocorruttore
;;"An axe with a blade made of hyper-compressed oil 
that cuts through anything but slowly corrupts the wielder's body.";"An axe with a blade made of hyper-compressed oil 
that cuts through anything but slowly corrupts the wielder's body.";"Un'ascia con una lama fatta di olio ipercompresso
che taglia qualsiasi cosa ma corrompe lentamente il corpo di chi la impugna."
;;EHI Headache Inducer;EHI Headache Inducer;Induttore di cefalea EHI
;;"A pistol that fires bullets containing compressed 
encyclopedic knowledge, overwhelming targets but causing crippling migraines.";"A pistol that fires bullets containing compressed 
encyclopedic knowledge, overwhelming targets but causing crippling migraines.";Una pistola che spara proiettili contenenti una conoscenza enciclopedica compressa, travolgendo i bersagli ma provocando emicranie debilitanti.
;;EHI Suicide Bomber;EHI Suicide Bomber;Flagello esplosivo EHI
;;"A flail with heads containing volatile oil that 
explodes on impact, damaging both enemies and the wielder.";"A flail with heads containing volatile oil that 
explodes on impact, damaging both enemies and the wielder.";"Un flagello con teste contenenti olio volatile che
esplode all'impatto, danneggiando sia i nemici che chi lo impugna."
;;EHI Flesh Dissolver;EHI Flesh Dissolver;EHI Dissolvicarne
;;"A sword with a blade made of shimmering oil that 
phases through armor but slowly dissolves the wielder's flesh.";"A sword with a blade made of shimmering oil that 
phases through armor but slowly dissolves the wielder's flesh.";"Una spada con una lama fatta di olio scintillante che
attraversa l'armatura ma dissolve lentamente la carne di chi la impugna."
;;EHI Brain Hemorrhager;EHI Brain Hemorrhager;Emorragia cerebrale EHI
